year,total_revenue_m_eur,total_expenditure_m_eur,balance_m_eur,social_contributions_m_eur,nominal_gdp_m_eur,statistical_regime,contributions_share_total_revenue,contributions_pct_gdp,revenue_pct_gdp,expenditure_pct_gdp,year_gap,contribution_growth
1977,311.3940057,315.2473942,-3.853388511,295.6630299,3602.601334,historical_long_series,0.9494820853,8.206931671,8.643587697,8.750548977,,
1978,394.8582208,361.6634003,33.19482048,354.1307301,4456.083151,historical_long_series,0.8968554065,7.947130205,8.86110531,8.116172611,1,0.1977511365
1979,469.6633597,412.9853088,56.6780509,429.51255,5665.868483,historical_long_series,0.9145115136,7.580701021,8.289344539,7.289002737,1,0.2128643844
1980,614.056427,586.2957203,27.7607067,556.1441925,7363.833272,historical_long_series,0.9056890671,7.552373498,8.338814912,7.961827742,1,0.2948264085
1981,761.7620617,778.5373482,-16.77528656,702.0872597,8847.305645,historical_long_series,0.9216621502,7.935605345,8.610102241,8.799711228,1,0.2624194753
1982,997.1299195,979.260006,17.86991351,925.6032312,10698.31816,historical_long_series,0.9282674334,8.651857399,9.32043621,9.153401418,1,0.3183592473
1983,1279.29936,1211.642443,67.65691683,1156.763211,13668.75365,historical_long_series,0.9042162035,8.462828731,9.359297808,8.864322782,1,0.2497398147
1984,1662.391084,1462.048794,200.3422901,1412.541545,16785.04216,historical_long_series,0.8497047165,8.415478086,9.904003029,8.7104267,1,0.2211155506
1985,1970.467271,1808.769113,161.6981574,1681.365469,20605.41146,historical_long_series,0.8532826168,8.159824774,9.562863011,8.778126643,1,0.190312225
1986,2783.756268,2440.658633,343.0976347,2422.141344,25181.81629,historical_long_series,0.8700982095,9.618612561,11.05462861,9.692146926,1,0.4405799267
1987,3263.492214,3100.365849,163.1263655,2856.324518,29670.65301,historical_long_series,0.8752355851,9.626766614,10.9990576,10.44926732,1,0.1792559194
1988,3822.339634,3590.770047,231.5695873,3301.51654,35416.43021,historical_long_series,0.8637423297,9.321991293,10.79256043,10.13871253,1,0.1558618495
1989,4471.060355,4184.640856,286.419499,3918.405822,41841.30823,historical_long_series,0.8763929607,9.364921863,10.6857566,10.00121897,1,0.1868502775
1990,5334.209653,5106.159918,228.0497351,4747.51848,50239.23883,historical_long_series,0.890013477,9.449821676,10.61761638,10.16368886,1,0.211594382
1991,6398.76174,6468.657517,-69.89577618,5662.842549,57608.07092,historical_long_series,0.8849903746,9.829946497,11.10740498,11.22873482,1,0.1928005278
1992,7933.604491,7752.84759,180.7569009,6681.233228,64765.86489,historical_long_series,0.8421434715,10.31597932,12.24966964,11.97057679,1,0.1798373643
1993,9436.877923,9210.394498,226.4834249,7402.335372,67733.29321,historical_long_series,0.7844051213,10.92865122,13.93240676,13.59803143,1,0.1079294973
1994,9564.043902,9842.430012,-278.3861104,7980.786305,73437.83279,historical_long_series,0.8344573056,10.86740444,13.02331991,13.40239715,1,0.07814438339
1995,10578.25315,10947.78854,-369.5353881,8904.270708,79373.07522,historical_long_series,0.841752469,11.21825088,13.32725628,13.79282396,1,0.1157134607
2000,12106.05698,11949.031,157.0259787,8844.914,128414.445,esa2010_modern,0.7306188973,6.887787429,9.427332711,9.305052091,5,
2001,12937.05786,13145.286,-208.2281407,9641.545,135775.009,esa2010_modern,0.7452656628,7.101119028,9.528305654,9.681668296,1,0.09006656255
2002,14599.44217,13607.426,992.0161678,10149.938,142554.263,esa2010_modern,0.6952277959,7.120052243,10.24132275,9.545436042,1,0.05272941214
2003,15170.99158,14764.625,406.3665819,10245.023,146067.858,esa2010_modern,0.675303453,7.013879125,10.38626279,10.10805882,1,0.009368037519
2004,16166.80832,15857.024,309.7843197,10508.783,152248.388,esa2010_modern,0.6500221189,6.902393607,10.61870574,10.41523277,1,0.02574518378
2005,17460.82106,16948.209,512.6120555,11136.151,158552.704,esa2010_modern,0.6377793441,7.023627298,11.012629,10.68932196,1,0.05969939621
2006,18827.16464,18009.78783,817.3768087,11701.755,166260.469,esa2010_modern,0.6215357024,7.038206418,11.32389723,10.83227296,1,0.05078990039
2007,20050.81801,18630.66228,1420.155727,12468.547,175483.401,esa2010_modern,0.6218472979,7.105257209,11.42604822,10.61676613,1,0.06552794859
2008,21274.25123,19594.04133,1680.2099,13100.636,179102.781,esa2010_modern,0.6157977481,7.314591056,11.87823612,10.94011004,1,0.05069467998
2009,21946.53685,21534.08,412.45685,13212.044,175416.437,esa2010_modern,0.6020104261,7.531816417,12.51110627,12.27597617,1,0.008504014614
2010,23078.96619,22274.191,804.77519,13570.75219,179860.351,esa2010_modern,0.5880138685,7.545160517,12.831603,12.38415853,1,0.02715009048
2011,22439.304,22000.332,438.972,13782.69,176318.001,esa2010_modern,0.6142209224,7.816950012,12.7266098,12.47764373,1,0.01561724855
2012,23037.961,22724.076,313.885,13081.318,168538.75,esa2010_modern,0.5678157889,7.761608532,13.6692369,13.48299783,1,-0.05088788908
2013,23845.176,23497.336,347.84,13287.416,170675.649,esa2010_modern,0.5572370697,7.785185571,13.9710475,13.76724573,1,0.01575514027
2014,23744.982,22937.346,807.636,13546.404,173186.662,esa2010_modern,0.5704954419,7.821851777,13.71062975,13.2442913,1,0.01949122388
2015,24091.596,22963.062,1128.534,14131.051,179392.709,esa2010_modern,0.5865552037,7.877160158,13.42952907,12.8004433,1,0.04315883389
2016,24800.032,23230.089,1569.943,14841.064,186380.749,esa2010_modern,0.5984292278,7.962766584,13.30611242,12.46378133,1,0.05024488271
2017,25876.981,23634.427,2242.554,15883.272,195509.136,esa2010_modern,0.6137992682,8.124056157,13.23568889,12.08865605,1,0.07022461462
2018,26675.139,24640.347,2034.792,17049.069,204997.646,esa2010_modern,0.6391370257,8.316714525,13.01241235,12.01981949,1,0.07339778605
2019,28812.083,25836.613,2975.47,18532.578,214489.895,esa2010_modern,0.6432224286,8.640303544,13.43283934,12.04560849,1,0.08701407684
2020,31320.77,29122.861,2197.909,18844.001,201032.705,esa2010_modern,0.6016455215,9.373599684,15.5799376,14.48662843,1,0.01680408414
2021,32296.492,29828.175,2468.317,20273.61,216493.745,esa2010_modern,0.6277341205,9.364524596,14.91797927,13.7778461,1,0.0758654704
2022,34723.692,30424.288,4299.404,22563.085,243957.084,esa2010_modern,0.6497893427,9.24879271,14.23352478,12.47116399,1,0.1129288272
2023,37866.691,32146.532,5720.159,25368.629,270352.615,esa2010_modern,0.6699457579,9.383533797,14.00640826,11.89059407,1,0.1243422165
2024,41762.66951,35732.114,6030.555507,27925.918,289784.317,esa2010_modern,0.6686813446,9.636794113,14.41163895,12.33058931,1,0.1008051716
2025,45317.20816,38252.516,7064.692165,30393.564,306765.485,esa2010_modern,0.6706848288,9.907752171,14.77259026,12.46962839,1,0.08836400651
