floor_pct_gdp,n_defined_country_years,n_countries,country_median_offset,cross_country_median,percentile
0.25,442,28,0.1412265604,0.1328545489,50
0.5,422,28,0.1412265604,0.1096938162,53.57142857
0.75,403,28,0.1412265604,0.08967026177,57.14285714
1,382,28,0.1412265604,0.08004123709,57.14285714
