year,general_government_balance_m_eur,central_government_balance_m_eur,regional_local_balance_m_eur,social_security_balance_m_eur,non_ssf_balance_m_eur,ssf_offset_ratio,positive_aggregate_with_negative_non_ssf_balance
2010,-20537,-19799,-1543,805,-21342,0.03771905164,False
2011,-13624,-13862,-201,439,-14063,0.03121666785,False
2012,-10453,-11603,835,314,-10768,0.02916047548,False
2013,-8898,-9555,309,348,-9246,0.03763789747,False
2014,-12752,-14214,655,808,-13559,0.0595914153,False
2015,-8026,-9931,776,1129,-9155,0.1233205898,False
2016,-3622,-6055,863,1570,-5192,0.3023882897,False
2017,-5870,-8460,348,2243,-8112,0.2765039448,False
2018,-873,-3407,499,2035,-2908,0.6997936726,False
2019,249,-3331,604,2975,-2727,1.090942428,True
2020,-11564,-13555,-207,2198,-13762,0.1597151577,False
2021,-6117,-7985,-601,2468,-8586,0.2874446774,False
2022,-757,-4966,-91,4299,-5057,0.8501087601,False
2023,3030,-2447,-243,5720,-2690,2.126394052,True
2024,1863,-4424,256,6031,-4168,1.446976967,True
2025,2059,-5636,630,7065,-5006,1.411306432,True
