year,sector,year_gap,revenue_change_m_eur,expenditure_change_m_eur,balance_change_m_eur,decomposition_error_m_eur
1978,central_government,1,107.9202215,266.0888033,-158.1685818,-8.526512829e-14
1979,central_government,1,227.247052,310.2440747,-82.99702274,2.273736754e-13
1980,central_government,1,387.5019198,620.5738533,-233.0719335,0
1981,central_government,1,394.6983145,780.0014388,-385.3031244,-2.273736754e-13
1982,central_government,1,567.8771843,380.897717,186.9794674,1.136868377e-13
1983,central_government,1,934.7148123,995.2583364,-60.54352413,0
1984,central_government,1,616.1467005,1538.378315,-922.2316142,-4.547473509e-13
1985,central_government,1,910.4431986,1252.202237,-341.7590387,9.094947018e-13
1986,central_government,1,1218.207179,862.8350111,355.3721675,-1.364242053e-12
1987,central_government,1,650.158192,668.0999523,-17.94176036,2.273736754e-13
1988,central_government,1,1554.271499,1169.21698,385.0545186,4.547473509e-13
1989,central_government,1,1912.350068,1594.46118,317.8888878,-2.273736754e-13
1990,central_government,1,1866.291311,3171.769109,-1305.477799,1.364242053e-12
1991,central_government,1,2465.896241,3302.887093,-836.990852,-9.094947018e-13
1992,central_government,1,3539.063567,2313.184934,1225.878632,1.591615728e-12
1993,central_government,1,-496.0466253,1561.273234,-2057.319859,-1.818989404e-12
1994,central_government,1,1083.782356,1068.927196,14.85516051,-5.456968211e-12
1995,central_government,1,1728.097712,1877.067352,-148.9696399,9.094947018e-13
2001,central_government,1,1529.132277,3485.877853,-1956.745576,0
2002,central_government,1,2558.634207,1890.7486,667.8856071,0
2003,central_government,1,83.44764335,2968.174,-2884.726357,0
2004,central_government,1,2131.059966,3352.288143,-1221.228177,0
2005,central_government,1,2518.153114,2974.74515,-456.5920354,0
2006,central_government,1,2563.856062,470.7096252,2093.146436,0
2007,central_government,1,3086.43755,1566.968302,1519.469248,0
2008,central_government,1,1267.048631,2633.499636,-1366.451005,0
2009,central_government,1,-3466.608155,5472.646144,-8939.254299,0
2010,central_government,1,1789.04514,5239.55,-3450.50486,0
2011,central_government,1,1209.118893,-4727.98747,5937.106363,0
2012,central_government,1,-1767.478383,-4026.65555,2259.177167,0
2013,central_government,1,4243.39903,2195.93902,2047.46001,0
2014,central_government,1,169.82,4828.54,-4658.72,0
2015,central_government,1,1580.475,-2702.649004,4283.124004,0
2016,central_government,1,681.403,-3194.380336,3875.783336,0
2017,central_government,1,1782.283,4187.3724,-2405.0894,0
2018,central_government,1,3120.01,-1933.24306,5053.25306,0
2019,central_government,1,1748.989,1673.048,75.941,0
2020,central_government,1,-3748.293,6475.406,-10223.699,0
2021,central_government,1,6854.923,1285.031,5569.892,0
2022,central_government,1,6625.382,3606.793,3018.589,0
2023,central_government,1,6548.498,4029.809,2518.689,0
2024,central_government,1,4885.82955,6862.311,-1976.48145,0
2025,central_government,1,4227.631817,5439.509,-1211.877183,0
1978,general_government,1,225.1194354,357.0405509,-131.9211155,1.705302566e-13
1979,general_government,1,339.09288,388.0203256,-48.92744566,-5.684341886e-14
1980,general_government,1,523.0122156,819.2355072,-296.2232916,-2.273736754e-13
1981,general_government,1,573.462683,1051.265209,-477.8025258,4.547473509e-13
1982,general_government,1,835.6196044,647.4221074,188.1974969,-7.958078641e-13
1983,general_government,1,1213.006509,1216.019113,-3.012603648,0
1984,general_government,1,943.0005436,1733.159104,-790.1585603,5.684341886e-13
1985,general_government,1,1267.806636,1679.259592,-411.4529563,-4.547473509e-13
1986,general_government,1,2091.911212,1458.423877,633.4873349,9.094947018e-13
1987,general_government,1,1346.739784,1500.913226,-154.173442,-1.591615728e-12
1988,general_government,1,2312.688056,1796.631084,516.0569727,1.591615728e-12
1989,general_government,1,2698.863019,2466.042018,232.8210014,4.547473509e-13
1990,general_government,1,2753.732588,4389.070857,-1635.33827,-4.547473509e-13
1991,general_government,1,3764.166874,4692.994958,-928.8280843,0
1992,general_government,1,5290.418477,3743.606544,1546.811933,6.821210263e-13
1993,general_government,1,368.2499584,2589.787328,-2221.53737,-1.818989404e-12
1994,general_government,1,1255.361136,1582.410996,-327.0498596,9.094947018e-13
1995,general_government,1,4538.224154,4691.869877,-153.6457238,0
1996,general_government,1,2901.137,2760.691,140.446,0
1997,general_government,1,3414.944,2736.86836,678.07564,0
1998,general_government,1,2982.95,4076.645467,-1093.695467,0
1999,general_government,1,4656.614,3396.707713,1259.906287,0
2000,general_government,1,3406.03586,3852.42601,-446.39015,0
2001,general_government,1,2774.576885,5140.21385,-2365.636965,0
2002,general_government,1,4189.39065,2438.1596,1751.23105,0
2003,general_government,1,360.159215,3998.634,-3638.474785,0
2004,general_government,1,2979.079788,4096.87514,-1117.795352,0
2005,general_government,1,3446.273519,3722.73115,-276.457631,0
2006,general_government,1,3839.772586,1048.560244,2791.212342,0
2007,general_government,1,4771.730168,2888.87677,1882.853398,0
2008,general_government,1,1577.294744,3357.172282,-1779.877538,0
2009,general_government,1,-3801.831215,6694.091414,-10495.92263,0
2010,general_government,1,1948.47111,5164.579,-3216.10789,0
2011,general_government,1,1796.165043,-5116.92647,6913.091513,0
2012,general_government,1,-2732.799633,-5903.36939,3170.569757,0
2013,general_government,1,4515.16928,2959.98386,1555.18542,0
2014,general_government,1,431.253,4284.499,-3853.246,0
2015,general_government,1,1854.31,-2871.239002,4725.549002,0
2016,general_government,1,1347.57,-3056.355338,4403.925338,0
2017,general_government,1,3060.492,5307.9884,-2247.4964,0
2018,general_government,1,4793.556,-203.17606,4996.73206,0
2019,general_government,1,3513.137,2391.319,1121.818,0
2020,general_government,1,-4176.497,7636.364,-11812.861,0
2021,general_government,1,9188.335,3741.516,5446.819,0
2022,general_government,1,9898.294,4538.517,5359.777,0
2023,general_government,1,10394.301,6607.311,3786.99,0
2024,general_government,1,7997.228353,9164.429,-1167.200647,0
2025,general_government,1,8332.16443,8136.052,196.1124297,0
1978,regional_local_government,1,22.68882516,33.48956784,-10.80074268,-1.953992523e-14
1979,regional_local_government,1,89.9533196,79.36697294,10.58634666,2.842170943e-14
1980,regional_local_government,1,70.43198997,104.6660039,-34.2340139,0
1981,regional_local_government,1,67.97663671,115.9400449,-47.96340819,7.105427358e-15
1982,regional_local_government,1,69.97550386,103.4026744,-33.42717052,4.263256415e-14
1983,regional_local_government,1,79.87936143,72.13544427,7.74391716,-1.136868377e-13
1984,regional_local_government,1,88.95824665,89.57056596,-0.6123193105,1.421085472e-14
1985,regional_local_government,1,155.0091556,186.0589406,-31.04978502,8.526512829e-14
1986,regional_local_government,1,215.3991948,118.6835046,96.71569019,5.684341886e-14
1987,regional_local_government,1,349.0669923,305.3274047,43.73958759,0
1988,regional_local_government,1,297.0591871,234.4999549,62.55923225,-2.842170943e-14
1989,regional_local_government,1,299.9763666,439.8941647,-139.9177981,-2.273736754e-13
1990,regional_local_government,1,255.9836021,527.4743094,-271.4907074,4.547473509e-13
1991,regional_local_government,1,521.0361102,314.9278312,206.108279,-1.136868377e-13
1992,regional_local_government,1,611.8942885,541.6136648,70.2806237,-3.694822226e-13
1993,regional_local_government,1,117.0311725,326.9752073,-209.9440349,4.831690603e-13
1994,regional_local_government,1,49.83972233,-113.1247929,162.9645152,-8.526512829e-14
1995,regional_local_government,1,358.2110278,218.9311356,139.2798922,-1.705302566e-13
2001,regional_local_government,1,926.8077264,978.181,-51.37327364,0
2002,regional_local_government,1,404.9311344,522.924,-117.9928656,0
2003,regional_local_government,1,93.71515872,131.696,-37.98084128,0
2004,regional_local_government,1,617.2360827,452.131,165.1050827,0
2005,regional_local_government,1,438.6146675,490.267,-51.65233251,0
2006,regional_local_government,1,853.1804832,481.8153265,371.3651567,0
2007,regional_local_government,1,673.4662863,932.8640552,-259.3977689,0
2008,regional_local_government,1,370.3425326,1001.395158,-631.0526257,0
2009,regional_local_government,1,69.8911,358.80646,-288.91536,0
2010,regional_local_government,1,122.44363,280.365,-157.92137,0
2011,regional_local_government,1,-31.51466,-1373.303,1341.78834,0
2012,regional_local_government,1,-447.71225,-1484.19184,1036.47959,0
2013,regional_local_government,1,242.51725,768.74684,-526.22959,0
2014,regional_local_government,1,-514.843,-860.521,345.678,0
2015,regional_local_government,1,390.264,268.737,121.527,0
2016,regional_local_government,1,101.934,15.201,86.733,0
2017,regional_local_government,1,326.813,841.831,-515.018,0
2018,regional_local_government,1,595.746,444.505,151.241,0
2019,regional_local_government,1,566.04,460.841,105.199,0
2020,regional_local_government,1,139.44,951.041,-811.601,0
2021,regional_local_government,1,1184.719,1578.2,-393.481,0
2022,regional_local_government,1,1254.511,744.41,510.101,0
2023,regional_local_government,1,1529.321,1681.775,-152.454,0
2024,regional_local_government,1,2255.767296,1756.883,498.884296,0
2025,regional_local_government,1,2516.085955,2142.233,373.8529545,0
1978,social_security_funds,1,83.46421505,46.41600606,37.04820899,7.105427358e-15
1979,social_security_funds,1,74.80513897,51.32190856,23.48323041,-1.421085472e-14
1980,social_security_funds,1,144.3930673,173.3104115,-28.9173442,3.552713679e-14
1981,social_security_funds,1,147.7056347,192.2416279,-44.53599326,1.421085472e-14
1982,social_security_funds,1,235.3678579,200.7226578,34.64520007,-5.684341886e-14
1983,social_security_funds,1,282.1694407,232.3824374,49.78700332,4.263256415e-14
1984,social_security_funds,1,383.0917239,250.4063506,132.6853733,-1.136868377e-13
1985,social_security_funds,1,308.0761868,346.7203194,-38.64413264,3.126388037e-13
1986,social_security_funds,1,813.2889971,631.8895198,181.3994773,-1.98951966e-13
1987,social_security_funds,1,479.7359465,659.7072157,-179.9712692,1.421085472e-13
1988,social_security_funds,1,558.8474194,490.4041975,68.44322184,-1.136868377e-13
1989,social_security_funds,1,648.7207211,593.8708094,54.84991171,3.126388037e-13
1990,social_security_funds,1,863.1492983,921.5190621,-58.36976387,-3.126388037e-13
1991,social_security_funds,1,1064.552087,1362.497599,-297.9455113,6.252776075e-13
1992,social_security_funds,1,1534.84275,1284.190073,250.652677,-4.547473509e-13
1993,social_security_funds,1,1503.273432,1457.546908,45.72652408,7.389644452e-13
1994,social_security_funds,1,127.1659787,632.035514,-504.8695353,-3.410605132e-13
1995,social_security_funds,1,1014.20925,1105.358527,-91.14927767,-3.97903932e-13
2001,social_security_funds,1,831.0008806,1196.255,-365.2541194,0
2002,social_security_funds,1,1662.384309,462.14,1200.244309,0
2003,social_security_funds,1,571.5494141,1157.199,-585.6495859,0
2004,social_security_funds,1,995.8167378,1092.399,-96.58226224,0
2005,social_security_funds,1,1294.012736,1091.185,202.8277358,0
2006,social_security_funds,1,1366.343586,1061.578833,304.7647532,0
2007,social_security_funds,1,1223.653368,620.87445,602.7789181,0
2008,social_security_funds,1,1223.43322,963.379047,260.0541732,0
2009,social_security_funds,1,672.28562,1940.03867,-1267.75305,0
2010,social_security_funds,1,1132.42934,740.111,392.31834,0
2011,social_security_funds,1,-639.66219,-273.859,-365.80319,0
2012,social_security_funds,1,598.657,723.744,-125.087,0
2013,social_security_funds,1,807.215,773.26,33.955,0
2014,social_security_funds,1,-100.194,-559.99,459.796,0
2015,social_security_funds,1,346.614,25.716,320.898,0
2016,social_security_funds,1,708.436,267.027,441.409,0
2017,social_security_funds,1,1076.949,404.338,672.611,0
2018,social_security_funds,1,798.158,1005.92,-207.762,0
2019,social_security_funds,1,2136.944,1196.266,940.678,0
2020,social_security_funds,1,2508.687,3286.248,-777.561,0
2021,social_security_funds,1,975.722,705.314,270.408,0
2022,social_security_funds,1,2427.2,596.113,1831.087,0
2023,social_security_funds,1,3142.999,1722.244,1420.755,0
2024,social_security_funds,1,3895.978507,3585.582,310.396507,0
2025,social_security_funds,1,3554.538658,2520.402,1034.136658,0
