year,sector,balance_m_eur,gfcf_m_eur,nominal_gdp_m_eur,balance_before_gfcf_m_eur,gfcf_pct_gdp,balance_before_gfcf_pct_gdp,gfcf_share_abs_balance
1988,regional_local_government,75.29853054,554.8927086,35416.43021,630.1912391,1.566766344,1.779375379,7.369236884
1989,regional_local_government,-64.61926757,690.8051596,41841.30823,626.185892,1.651012334,1.496573407,10.69038981
1990,regional_local_government,-336.109975,732.6592911,50239.23883,396.5493161,1.458340748,0.7893219034,2.179820135
1991,regional_local_government,-130.0016959,953.0830698,57608.07092,823.0813739,1.654426289,1.42876052,7.331312589
1992,regional_local_government,-59.72107222,1114.803324,64765.86489,1055.082252,1.721282231,1.629071508,18.66683371
1993,regional_local_government,-269.6651071,1337.87572,67733.29321,1068.210612,1.975211386,1.577083531,4.961248913
1994,regional_local_government,-106.7005919,1165.224549,73437.83279,1058.523957,1.586681557,1.441387793,10.92050689
1995,regional_local_government,32.57930034,1225.37902,79373.07522,1257.95832,1.543822029,1.584867812,37.6121957
2000,regional_local_government,-483.1421419,2732.644,128414.445,2249.501858,2.127988016,1.751751416,5.655983536
2001,regional_local_government,-534.5154155,3227.778,135775.009,2693.262584,2.377299051,1.983621732,6.038699552
2002,regional_local_government,-652.5082811,3197.352,142554.263,2544.843719,2.242901708,1.785175459,4.900094133
2003,regional_local_government,-690.4891224,3082.506,146067.858,2392.016878,2.110324641,1.637606596,4.464235424
2004,regional_local_government,-525.3840396,2995.226,152248.388,2469.84196,1.967328547,1.622245065,5.70102206
2005,regional_local_government,-577.0363721,3213.717,158552.704,2636.680628,2.026907721,1.662967935,5.5693491
2006,regional_local_government,-205.6712154,2478.149,166260.469,2272.477785,1.49052208,1.36681786,12.04908035
2007,regional_local_government,-465.0689843,2691.486,175483.401,2226.417016,1.533755321,1.268733682,5.787283372
2008,regional_local_government,-1096.12161,3104.281,179102.781,2008.15939,1.733239977,1.121232947,2.832058936
2009,regional_local_government,-1385.03697,2883.798,175416.437,1498.76103,1.643972509,0.8544017058,2.082109043
2010,regional_local_government,-1542.95834,2957.207,179860.351,1414.24866,1.644168369,0.7863037363,1.916582531
2011,regional_local_government,-201.17,2372.767,176318.001,2171.597,1.345731568,1.231636581,11.79483521
2012,regional_local_government,835.30959,1687.776,168538.75,2523.08559,1.001417182,1.497035898,2.020539474
2013,regional_local_government,309.08,1873.883,170675.649,2182.963,1.097920536,1.279012567,6.062776627
2014,regional_local_government,654.758,1500.754,173186.662,2155.512,0.8665528758,1.244617787,2.292074324
2015,regional_local_government,776.285,1711.352,179392.709,2487.637,0.953969651,1.386699055,2.204540858
2016,regional_local_government,863.018,1432.987,186380.749,2296.005,0.7688492549,1.231889566,1.660436978
2017,regional_local_government,348,1876.356,195509.136,2224.356,0.9597280405,1.137724838,5.391827586
2018,regional_local_government,499.241,1769.23,204997.646,2268.471,0.8630489347,1.106583926,3.543839548
2019,regional_local_government,604.44,1964.972,214489.895,2569.412,0.9161140202,1.197917506,3.250896698
2020,regional_local_government,-207.161,2218.605,201032.705,2011.444,1.103604013,1.000555606,10.70956889
2021,regional_local_government,-600.642,2914.82,216493.745,2314.178,1.346376081,1.068935271,4.852840794
2022,regional_local_government,-90.541,2673.247,243957.084,2582.706,1.095785765,1.05867227,29.5252648
2023,regional_local_government,-242.995,3185.412,270352.615,2942.417,1.178243458,1.088362693,13.10896109
2024,regional_local_government,255.889296,3195.902,289784.317,3451.791296,1.102855404,1.191158767,12.48939307
2025,regional_local_government,629.7422505,4236.387,306765.485,4866.129251,1.380985543,1.586270128,6.727176073
1977,social_security_funds,-3.853388511,2.294470327,3602.601334,-1.558918184,0.06368926544,-0.04327201484,0.5954422504
1978,social_security_funds,33.19482048,3.082571004,4456.083151,36.27739149,0.06917669395,0.8141093928,0.09286301173
1979,social_security_funds,56.6780509,2.997775361,5665.868483,59.67582626,0.05290937074,1.053251173,0.05289129238
1980,social_security_funds,27.7607067,4.085154777,7363.833272,31.84586147,0.05547592709,0.4324630976,0.147156008
1981,social_security_funds,-16.77528656,3.092546962,8847.305645,-13.6827396,0.03495467531,-0.1546543111,0.1843513642
1982,social_security_funds,17.86991351,0.5337137499,10698.31816,18.40362726,0.004988763112,0.1720235553,0.02986661069
1983,social_security_funds,67.65691683,4.778483854,13668.75365,72.43540068,0.03495917754,0.529934203,0.07062816454
1984,social_security_funds,200.3422901,5.626440279,16785.04216,205.9687304,0.03352056089,1.22709689,0.02808413679
1985,social_security_funds,161.6981574,5.372053351,20605.41146,167.0702108,0.02607108022,0.8108074479,0.03322272459
1986,social_security_funds,343.0976347,10.24530881,25181.81629,353.3429435,0.04068534489,1.403167029,0.029861205
1987,social_security_funds,163.1263655,14.1608723,29670.65301,177.2872378,0.0477268643,0.5975171416,0.08680921847
1988,social_security_funds,231.5695873,16.57006614,35416.43021,248.1396534,0.04678638147,0.7006342875,0.0715554505
1989,social_security_funds,286.419499,18.94933211,41841.30823,305.3688311,0.04528857465,0.729826203,0.06615936476
1990,social_security_funds,228.0497351,15.17343203,50239.23883,243.2231672,0.03020235255,0.484129881,0.06653562662
1991,social_security_funds,-69.89577618,18.3108708,57608.07092,-51.58490538,0.0317852525,-0.08954458039,0.2619739246
1992,social_security_funds,180.7569009,4.474217137,64765.86489,185.231118,0.006908295202,0.2860011494,0.02475267675
1993,social_security_funds,226.4834249,1.481429754,67733.29321,227.9648547,0.002187151523,0.3365624848,0.006541007381
1994,social_security_funds,-278.3861104,6.808811891,73437.83279,-271.5772985,0.009271531623,-0.3698057093,0.0244581595
1995,social_security_funds,-369.5353881,8.976487804,79373.07522,-360.5589003,0.01130923525,-0.4542584488,0.0242912806
2000,social_security_funds,157.0259787,75.827,128414.445,232.8529787,0.05904865298,0.1813292724,0.4828946178
2001,social_security_funds,-208.2281407,106.396,135775.009,-101.8321407,0.07836199075,-0.07500065102,0.5109587957
2002,social_security_funds,992.0161678,71.858,142554.263,1063.874168,0.05040747186,0.7462941798,0.07243631942
2003,social_security_funds,406.3665819,45.929,146067.858,452.2955819,0.03144360479,0.3096475762,0.1130235655
2004,social_security_funds,309.7843197,43.113,152248.388,352.8973197,0.0283175412,0.2317905131,0.1391710208
2005,social_security_funds,512.6120555,31.396,158552.704,544.0080555,0.01980161751,0.3431086584,0.06124709644
2006,social_security_funds,817.3768087,35.065,166260.469,852.4418087,0.02109040123,0.5127146662,0.04289943099
2007,social_security_funds,1420.155727,17.733,175483.401,1437.888727,0.01010522927,0.8193873145,0.0124866588
2008,social_security_funds,1680.2099,28.093,179102.781,1708.3029,0.01568540692,0.9538114877,0.01671993481
2009,social_security_funds,412.45685,33.34,175416.437,445.79685,0.01900620066,0.2541363042,0.08083269801
2010,social_security_funds,804.77519,17.344,179860.351,822.11919,0.009643036891,0.4570875045,0.0215513602
2011,social_security_funds,438.972,25.733,176318.001,464.705,0.01459465276,0.263560724,0.058621051
2012,social_security_funds,313.885,29.203,168538.75,343.088,0.01732717253,0.2035662422,0.09303725887
2013,social_security_funds,347.84,19.919,170675.649,367.759,0.01167067482,0.2154724486,0.05726483441
2014,social_security_funds,807.636,23.581,173186.662,831.217,0.01361594463,0.4799543974,0.0291975593
2015,social_security_funds,1128.534,15.126,179392.709,1143.66,0.008431780803,0.6375175482,0.01340322932
2016,social_security_funds,1569.943,-6.429,186380.749,1563.514,-0.003449390581,0.8388817023,-0.004095053133
2017,social_security_funds,2242.554,20.939,195509.136,2263.493,0.01070998544,1.157742828,0.009337121871
2018,social_security_funds,2034.792,68.743,204997.646,2103.535,0.0335335558,1.026126417,0.03378379707
2019,social_security_funds,2975.47,-20.046,214489.895,2955.424,-0.009345894826,1.377884958,-0.006737086914
2020,social_security_funds,2197.909,37.175,201032.705,2235.084,0.01849201601,1.111801187,0.01691380307
2021,social_security_funds,2468.317,46.197,216493.745,2514.514,0.02133872274,1.161471894,0.0187159915
2022,social_security_funds,4299.404,52.406,243957.084,4351.81,0.02148164716,1.78384244,0.01218913133
2023,social_security_funds,5720.159,61.096,270352.615,5781.255,0.02259863475,2.138412828,0.01068082198
2024,social_security_funds,6030.555507,76.347,289784.317,6106.902507,0.02634614626,2.107395794,0.01266002774
2025,social_security_funds,7064.692165,102.365,306765.485,7167.057165,0.03336913864,2.336331014,0.01448966177
