year,sector,balance_m_eur,gfcf_m_eur,nominal_gdp_m_eur,balance_before_gfcf_m_eur,gfcf_pct_gdp,balance_before_gfcf_pct_gdp,gfcf_share_abs_balance
1977,central_government,-155.9932986,64.76560489,3602.601334,-91.22769372,1.797745542,-2.532272801,0.4151819692
1978,central_government,-314.1618804,89.38349578,4456.083151,-224.7783847,2.00587585,-5.04430409,0.2845141354
1979,central_government,-397.1589032,116.6928552,5665.868483,-280.466048,2.059575784,-4.950098097,0.293819059
1980,central_government,-630.2308367,153.8603017,7363.833272,-476.370535,2.089405015,-6.469056501,0.2441332488
1981,central_government,-1015.533961,245.2321854,8847.305645,-770.3017756,2.771829021,-8.70662557,0.2414810285
1982,central_government,-828.5544937,215.1781157,10698.31816,-613.3763779,2.011326571,-5.733390696,0.2597030339
1983,central_government,-889.0980178,264.3658152,13668.75365,-624.7322025,1.934088668,-4.570513294,0.2973415866
1984,central_government,-1811.329632,303.1927855,16785.04216,-1508.136847,1.80632722,-8.985004816,0.1673868633
1985,central_government,-2153.088671,338.8909777,20605.41146,-1814.197693,1.644669792,-8.80447205,0.1573975946
1986,central_government,-1797.716503,435.9144462,25181.81629,-1361.802057,1.731068328,-5.407878612,0.2424823076
1987,central_government,-1815.658264,562.4993765,29670.65301,-1253.158887,1.895810572,-4.223563555,0.309804652
1988,central_government,-1430.603745,680.1308846,35416.43021,-750.4728604,1.920382378,-2.118996342,0.4754152832
1989,central_government,-1112.714857,685.0240919,41841.30823,-427.6907653,1.637195683,-1.022173501,0.6156330955
1990,central_government,-2418.192656,881.9245618,50239.23883,-1536.268094,1.755449689,-3.057904797,0.3647040114
1991,central_government,-3255.183508,957.4176235,57608.07092,-2297.765884,1.661950501,-3.988617997,0.294120937
1992,central_government,-2029.304875,1316.422422,64765.86489,-712.8824533,2.032586802,-1.100707069,0.6487060855
1993,central_government,-4086.624734,1392.234714,67733.29321,-2694.39002,2.055465855,-3.977940378,0.3406808319
1994,central_government,-4071.769574,1514.931055,73437.83279,-2556.838519,2.062875492,-3.481636674,0.3720571676
1995,central_government,-4220.739214,1771.096353,79373.07522,-2449.642861,2.231356601,-3.086239073,0.4196175749
2000,central_government,-3803.951523,3108.227,128414.445,-695.7245226,2.420465237,-0.5417805782,0.8171047874
2001,central_government,-5760.697099,3499.549,135775.009,-2261.148099,2.577461807,-1.665363984,0.6074870697
2002,central_government,-5092.811492,3299.391,142554.263,-1793.420492,2.314480767,-1.258061635,0.6478525674
2003,central_government,-7977.537848,3264.09,146067.858,-4713.447848,2.234639465,-3.226889141,0.409160077
2004,central_government,-9198.766025,3716.768,152248.388,-5481.998025,2.441252777,-3.600693641,0.4040507161
2005,central_government,-9655.358061,3222.936,158552.704,-6432.422061,2.032722192,-4.056961438,0.3337976676
2006,central_government,-7562.211624,3066.459,166260.469,-4495.752624,1.844370474,-2.704041827,0.4054976444
2007,central_government,-6042.742376,2935.455,175483.401,-3107.287376,1.672782145,-1.770701593,0.4857819211
2008,central_government,-7409.193381,3518.369,179102.781,-3890.824381,1.9644413,-2.172397525,0.4748653219
2009,central_government,-16348.44768,4288.345,175416.437,-12060.10268,2.444665433,-6.875126919,0.2623090023
2010,central_government,-19798.95254,6504.183,179860.351,-13294.76954,3.61624058,-7.391717778,0.3285114698
2011,central_government,-13861.84618,3741.264,176318.001,-10120.58218,2.121884311,-5.739959686,0.2698965168
2012,central_government,-11602.66901,2441.666,168538.75,-9161.00301,1.448726776,-5.435547024,0.2104400287
2013,central_government,-9555.209,1827.397,170675.649,-7727.812,1.070684079,-4.527776543,0.1912461569
2014,central_government,-14213.929,1924.95,173186.662,-12288.979,1.111488597,-7.095799906,0.1354270167
2015,central_government,-9930.804996,2316.162,179392.709,-7614.642996,1.291112673,-4.24467808,0.2332300353
2016,central_government,-6055.02166,1463.449,186380.749,-4591.57266,0.7851932176,-2.463544483,0.2416917861
2017,central_government,-8460.11106,1600.032,195509.136,-6860.07906,0.8183924459,-3.508827874,0.1891265952
2018,central_government,-3406.858,1959.2,204997.646,-1447.658,0.9557182915,-0.7061827432,0.5750753333
2019,central_government,-3330.917,2017.132,214489.895,-1313.785,0.9404321821,-0.6125160348,0.6055785839
2020,central_government,-13554.616,2389.583,201032.705,-11165.033,1.188653856,-5.553839113,0.1762929322
2021,central_government,-7984.724,2628.291,216493.745,-5356.433,1.214026299,-2.474174485,0.3291649154
2022,central_government,-4966.135,3080.859,243957.084,-1885.276,1.262869251,-0.7727900207,0.6203735903
2023,central_government,-2447.446,3693.686,270352.615,1246.24,1.366247558,0.4609683542,1.509200203
2024,central_government,-4423.92745,4608.535,289784.317,184.60755,1.590332785,0.06370515558,1.041729335
2025,central_government,-5635.804633,4828.262,306765.485,-807.5426328,1.573926089,-0.2632442932,0.8567120961
1977,general_government,-147.8054908,105.645225,3602.601334,-42.16026581,2.932470601,-1.170272864,0.7147584601
1978,general_government,-279.7266063,145.9561752,4456.083151,-133.7704311,3.275436528,-3.001973404,0.5217815251
1979,general_government,-328.654052,217.7324356,5665.868483,-110.9216164,3.842878391,-1.957716045,0.6624973412
1980,general_government,-624.8773436,309.9177208,7363.833272,-314.9596228,4.208646629,-4.277115073,0.4959656866
1981,general_government,-1102.679869,471.2225187,8847.305645,-631.4573507,5.32616977,-7.137284231,0.4273429957
1982,general_government,-914.4823725,480.4828164,10698.31816,-433.9995561,4.491199545,-4.056708257,0.5254150664
1983,general_government,-917.4949761,532.1877893,13668.75365,-385.3071868,3.893462441,-2.818890418,0.5800443633
1984,general_government,-1707.653536,586.4447482,16785.04216,-1121.208788,3.493853293,-6.679809186,0.3434213883
1985,general_government,-2119.106493,672.8801638,20605.41146,-1446.226329,3.265550727,-7.018672409,0.3175301317
1986,general_government,-1485.619158,786.8586706,25181.81629,-698.7604872,3.124709757,-2.774861349,0.5296503256
1987,general_government,-1639.7926,979.828613,29670.65301,-659.9639868,3.302349337,-2.224298827,0.5975320374
1988,general_government,-1123.735627,1251.593659,35416.43021,127.8580321,3.533935103,0.3610133246,1.113779459
1989,general_government,-890.9146258,1394.778584,41841.30823,503.8639579,3.333496591,1.204226109,1.565558072
1990,general_government,-2526.252896,1629.757285,50239.23883,-896.4956106,3.243992789,-1.784453012,0.6451283194
1991,general_government,-3455.08098,1928.811564,57608.07092,-1526.269416,3.348162043,-2.649402057,0.5582536489
1992,general_government,-1908.269047,2435.699963,64765.86489,527.4309165,3.760777328,0.8143655881,1.276392324
1993,general_government,-4129.806417,2731.591864,67733.29321,-1398.214553,4.032864392,-2.064294362,0.6614333913
1994,general_government,-4456.856276,2686.964416,73437.83279,-1769.89186,3.658828581,-2.41005459,0.6028833441
1995,general_government,-4610.502,3924.865,89028.557,-685.637,4.408546125,-0.7701315433,0.8512879942
1996,general_government,-4470.056,4593.947,94351.591,123.891,4.868966121,0.1313078017,1.02771576
1997,general_government,-3791.98036,5699.517,102330.96,1907.53664,5.56968976,1.864085551,1.503044968
1998,general_government,-4885.675827,5681.106,111353.381,795.430173,5.101871132,0.7143296107,1.162808627
1999,general_government,-3625.76954,5903.716,119603.305,2277.94646,4.936080989,1.904584877,1.628265651
2000,general_government,-4072.15969,5916.698,128414.445,1844.53831,4.607501905,1.436394722,1.452963157
2001,general_government,-6437.796655,6833.723,135775.009,395.926345,5.033122848,0.2916047275,1.061500287
2002,general_government,-4686.565605,6568.601,142554.263,1882.035395,4.607789947,1.320223861,1.401580934
2003,general_government,-8325.04039,6392.525,146067.858,-1932.51539,4.37640771,-1.323025761,0.7678671454
2004,general_government,-9442.835742,6755.107,152248.388,-2687.728742,4.436898866,-1.765357767,0.7153684745
2005,general_government,-9719.293373,6468.049,158552.704,-3251.244373,4.079431531,-2.050576427,0.6654855196
2006,general_government,-6928.081031,5579.673,166260.469,-1348.408031,3.355982955,-0.8110214287,0.8053706322
2007,general_government,-5045.227633,5644.674,175483.401,599.446367,3.216642695,0.3415971902,1.118814533
2008,general_government,-6825.105171,6650.743,179102.781,-174.362171,3.713366684,-0.09735313434,0.9744528228
2009,general_government,-17321.0278,7205.483,175416.437,-10115.5448,4.107644143,-5.766588909,0.4159962725
2010,general_government,-20537.13569,9478.734,179860.351,-11058.40169,5.270051986,-6.148326537,0.4615411878
2011,general_government,-13624.04418,6139.764,176318.001,-7484.280177,3.482210532,-4.244762381,0.4506564953
2012,general_government,-10453.47442,4158.645,168538.75,-6294.82942,2.467471131,-3.734944884,0.3978241906
2013,general_government,-8898.289,3721.199,170675.649,-5177.09,2.180275289,-3.033291527,0.4181926436
2014,general_government,-12751.535,3449.285,173186.662,-9302.25,1.991657418,-5.371227722,0.2704995908
2015,general_government,-8025.985998,4042.64,179392.709,-3983.345998,2.253514105,-2.220461478,0.5036938765
2016,general_government,-3622.06066,2890.007,186380.749,-732.05366,1.550593082,-0.392773215,0.7978902816
2017,general_government,-5869.55706,3497.327,195509.136,-2372.23006,1.788830472,-1.213360208,0.5958417244
2018,general_government,-872.825,3797.173,204997.646,2924.348,1.852300782,1.4265276,4.350440237
2019,general_government,248.993,3962.058,214489.895,4211.051,1.847200308,1.963286429,15.91232685
2020,general_government,-11563.868,4645.363,201032.705,-6918.505,2.310749885,-3.44148232,0.4017135962
2021,general_government,-6117.049,5589.308,216493.745,-527.741,2.581741103,-0.2437673199,0.9137262101
2022,general_government,-757.272,5806.512,243957.084,5049.24,2.380136664,2.06972469,7.667670269
2023,general_government,3029.718,6940.194,270352.615,9969.912,2.567089651,3.687743875,2.290706264
2024,general_government,1862.517353,7880.784,289784.317,9743.301353,2.719534336,3.362259716,4.231254
2025,general_government,2058.629783,9167.014,306765.485,11225.64378,2.988280771,3.659356848,4.452968706
1977,regional_local_government,12.0411963,38.58514979,3602.601334,50.62634609,1.071035794,1.405271952,3.204428266
1978,regional_local_government,1.240453622,53.49010847,4456.083151,54.73056209,1.200383984,1.228221293,43.1214094
1979,regional_local_government,11.82680028,98.04180505,5665.868483,109.8686053,1.730393237,1.939130879,8.289799666
1980,regional_local_government,-22.40721362,151.9722643,7363.833272,129.5650507,2.063765687,1.759478331,6.782291942
1981,regional_local_government,-70.3706218,222.8977863,8847.305645,152.5271645,2.519386074,1.723995651,3.167483541
1982,regional_local_government,-103.7977923,264.7709869,10698.31816,160.9731946,2.474884211,1.504658884,2.550834473
1983,regional_local_government,-96.05387516,263.0434902,13668.75365,166.989615,1.924414596,1.221688673,2.738499511
1984,regional_local_government,-96.66619447,277.6255225,16785.04216,180.959328,1.654005512,1.07809874,2.872002193
1985,regional_local_government,-127.7159795,328.6171327,20605.41146,200.9011532,1.594809855,0.9749921937,2.573030673
1986,regional_local_government,-31.0002893,340.6989156,25181.81629,309.6986263,1.352956084,1.229850233,10.99018504
1987,regional_local_government,12.73929829,403.1683642,29670.65301,415.9076625,1.358811901,1.401747587,31.64761159
