regime,sector,n_specifications,modal_n_breaks,modal_n_breaks_share,min_n_breaks,max_n_breaks,modal_break_years,modal_break_years_share,n_distinct_break_year_sets
1977-1994_historical,general_government,12,1,0.8333333333,1,2,1986,0.8333333333,2
1977-1994_historical,central_government,12,1,1,1,1,1987,1,1
1977-1994_historical,regional_local_government,12,0,0.8333333333,0,2,,0.8333333333,2
1977-1994_historical,social_security_funds,12,0,1,0,0,,1,1
1995-2025_modern,general_government,12,2,0.5833333333,1,3,2009;2015,0.4166666667,4
1995-2025_modern,central_government,12,2,0.6666666667,1,2,2009;2016,0.6666666667,2
1995-2025_modern,regional_local_government,12,2,0.4166666667,1,3,2012,0.3333333333,6
1995-2025_modern,social_security_funds,12,1,0.6666666667,1,2,2017,0.6666666667,3
