sector,first_year,last_year,n_years,headline_positive_years,headline_negative_years,primary_positive_years,primary_negative_years,primary_positive_year_list,mean_interest_pct_gdp,max_interest_pct_gdp
central_government,1977,2025,45,0,45,15,30,1986;1987;1988;1989;1990;1991;1992;1994;1995;2016;2018;2019;2023;2024;2025,4.174416845,7.730867208
general_government,1977,2025,49,4,45,22,27,1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;2007;2015;2016;2017;2018;2019;2022;2023;2024;2025,4.163627665,7.889943637
regional_local_government,1977,2025,45,16,29,20,25,1977;1978;1979;1986;1987;1988;1991;1992;1994;1995;2012;2013;2014;2015;2016;2017;2018;2019;2024;2025,0.1285264854,0.6229508246
social_security_funds,1977,2025,45,39,6,39,6,1978;1979;1980;1982;1983;1984;1985;1986;1987;1988;1989;1990;1992;1993;2000;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0.004887219695,0.0442148772
