year,sector,component_scheme,side,component,change_m_eur,contribution_m_eur,balance_change_m_eur,component_closure_error_m_eur
1978,central_government,historical_current_capital,expenditure,Capital expenditure,48.56549715,-48.56549715,-158.1685818,-2.842170943e-14
1978,central_government,historical_current_capital,expenditure,Current expenditure,217.5233062,-217.5233062,-158.1685818,-2.842170943e-14
1978,central_government,historical_current_capital,revenue,Capital revenue,0.1709729552,0.1709729552,-158.1685818,-2.842170943e-14
1978,central_government,historical_current_capital,revenue,Current revenue,107.7492485,107.7492485,-158.1685818,-2.842170943e-14
1979,central_government,historical_current_capital,expenditure,Capital expenditure,59.52595245,-59.52595245,-82.99702274,2.842170943e-14
1979,central_government,historical_current_capital,expenditure,Current expenditure,250.7181222,-250.7181222,-82.99702274,2.842170943e-14
1979,central_government,historical_current_capital,revenue,Capital revenue,-0.6256771181,-0.6256771181,-82.99702274,2.842170943e-14
1979,central_government,historical_current_capital,revenue,Current revenue,227.8727291,227.8727291,-82.99702274,2.842170943e-14
1980,central_government,historical_current_capital,expenditure,Capital expenditure,95.90941331,-95.90941331,-233.0719335,1.705302566e-13
1980,central_government,historical_current_capital,expenditure,Current expenditure,524.66444,-524.66444,-233.0719335,1.705302566e-13
1980,central_government,historical_current_capital,revenue,Capital revenue,7.035439591,7.035439591,-233.0719335,1.705302566e-13
1980,central_government,historical_current_capital,revenue,Current revenue,380.4664802,380.4664802,-233.0719335,1.705302566e-13
1981,central_government,historical_current_capital,expenditure,Capital expenditure,78.11045381,-78.11045381,-385.3031244,5.684341886e-14
1981,central_government,historical_current_capital,expenditure,Current expenditure,701.890985,-701.890985,-385.3031244,5.684341886e-14
1981,central_government,historical_current_capital,revenue,Capital revenue,-2.686320966,-2.686320966,-385.3031244,5.684341886e-14
1981,central_government,historical_current_capital,revenue,Current revenue,397.3846354,397.3846354,-385.3031244,5.684341886e-14
1982,central_government,historical_current_capital,expenditure,Capital expenditure,88.73085863,-88.73085863,186.9794674,-2.842170943e-13
1982,central_government,historical_current_capital,expenditure,Current expenditure,292.1668583,-292.1668583,186.9794674,-2.842170943e-13
1982,central_government,historical_current_capital,revenue,Capital revenue,1.232030806,1.232030806,186.9794674,-2.842170943e-13
1982,central_government,historical_current_capital,revenue,Current revenue,566.6451535,566.6451535,186.9794674,-2.842170943e-13
1983,central_government,historical_current_capital,expenditure,Capital expenditure,66.47030842,-66.47030842,-60.54352413,1.705302566e-13
1983,central_government,historical_current_capital,expenditure,Current expenditure,928.788028,-928.788028,-60.54352413,1.705302566e-13
1983,central_government,historical_current_capital,revenue,Capital revenue,21.67128221,21.67128221,-60.54352413,1.705302566e-13
1983,central_government,historical_current_capital,revenue,Current revenue,913.0435301,913.0435301,-60.54352413,1.705302566e-13
1984,central_government,historical_current_capital,expenditure,Capital expenditure,9.334287575,-9.334287575,-922.2316142,-3.410605132e-13
1984,central_government,historical_current_capital,expenditure,Current expenditure,1529.044027,-1529.044027,-922.2316142,-3.410605132e-13
1984,central_government,historical_current_capital,revenue,Capital revenue,25.17855468,25.17855468,-922.2316142,-3.410605132e-13
1984,central_government,historical_current_capital,revenue,Current revenue,590.9681458,590.9681458,-922.2316142,-3.410605132e-13
1985,central_government,historical_current_capital,expenditure,Capital expenditure,170.0039454,-170.0039454,-341.7590387,3.410605132e-13
1985,central_government,historical_current_capital,expenditure,Current expenditure,1082.198292,-1082.198292,-341.7590387,3.410605132e-13
1985,central_government,historical_current_capital,revenue,Capital revenue,4.043819395,4.043819395,-341.7590387,3.410605132e-13
1985,central_government,historical_current_capital,revenue,Current revenue,906.3993792,906.3993792,-341.7590387,3.410605132e-13
1986,central_government,historical_current_capital,expenditure,Capital expenditure,338.775915,-338.775915,355.3721675,-1.023181539e-12
1986,central_government,historical_current_capital,expenditure,Current expenditure,524.059096,-524.059096,355.3721675,-1.023181539e-12
1986,central_government,historical_current_capital,revenue,Capital revenue,103.5491366,103.5491366,355.3721675,-1.023181539e-12
