year,esa2010_ssf_balance_m_eur,budget_system_total_m_eur,previdential_system_balance_m_eur,citizenship_system_balance_m_eur,special_regimes_balance_m_eur,boundary_difference_m_eur,boundary_difference_share_esa_balance
2019,2975,2776,2333,443,0,199,0.0668907563
2020,2198,2072,1649,423,0,126,0.05732484076
2021,2468,2348,1695,653,0,120,0.04862236629
2022,4299,4062,4172,-110,0,237,0.05512909979
2023,5720,5486,5485,1,0,234,0.04090909091
2024,6031,5595,5840,-245,0,436,0.07229315205
2025,7065,6657,6712,-55,0,408,0.05774946921
