DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2013,-12483.8,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2014,-12858.1,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2015,-10286.1,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2016,-10415.3,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2017,-3384.7,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2018,-4817.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2019,-9819.1,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2020,-41898.5,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2021,-27336.5,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2022,-19883.0,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2023,-24720.1,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2024,-27056.3,p,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BE,2025,-33220.7,p,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BG,1995,-35.9,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BG,1996,-90.7,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BG,1997,147.3,,
ESTAT:GOV_10A_MAIN(1.0),21/07/26 11:00:00,A,MIO_NAC,S13,B9,BG,1998,182.0,,
