DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,SAL_DC,PT,2009,4091.67,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,SAL_DC,PT,2010,4066.19,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,SAL_DC,PT,2011,3984.19,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,SAL_DC,PT,2012,3793.45,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,SAL_DC,PT,2013,3706.18,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,SAL_DC,PT,2014,3782.21,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,SAL_DC,PT,2015,3869.45,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,SAL_DC,PT,2016,3955.55,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,SAL_DC,PT,2017,4093.35,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,SAL_DC,PT,2018,4180.24,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,SAL_DC,PT,2019,4208.36,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,SAL_DC,PT,2020,4130.11,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,SAL_DC,PT,2021,4176.80,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,SAL_DC,PT,2022,4331.78,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,SAL_DC,PT,2023,4429.32,,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,SAL_DC,PT,2024,4473.54,p,
ESTAT:NAMA_10_A10_E(1.0),17/08/26 11:00:00,A,THS_PER,TOTAL,SAL_DC,PT,2025,4567.32,p,
