year,social_contributions_m_eur,state_budget_transfers_m_eur,state_budget_lbss_transfers_m_eur,rsi_expenditure_m_eur,professional_training_subsidies_m_eur,social_security_budget_balance_m_eur,previdential_revenue_m_eur,previdential_contributions_m_eur,previdential_state_transfers_m_eur,previdential_training_employment_expenditure_m_eur,previdential_balance_m_eur,citizenship_revenue_m_eur,citizenship_state_lbss_transfers_m_eur,citizenship_expenditure_m_eur,citizenship_balance_m_eur,source
2024,27688,9199,8620,358,41,5591,30107,27688,322,950,5840,10837,8409,11082,-245,CFP Social Security 2025 report underlying data
2025,30152,9956,9442,342,96,6672,32679,30152,317,1031,6712,11758,9232,11813,-55,CFP Social Security 2025 report underlying data
