year,sector,intragov_current_received_m_eur,intragov_capital_received_m_eur,intragov_current_paid_m_eur,intragov_capital_paid_m_eur,intragov_received_m_eur,intragov_paid_m_eur,net_intragov_transfer_m_eur,source
1977,central_government,60.6852286,0.03079079419,35.18614639,35.56492353,60.71601939,70.75106992,-10.03505053,Banco de Portugal / INE long series
1978,central_government,24.87704632,0.129732345,50.52176255,44.1042737,25.00677866,94.62603625,-69.61925759,Banco de Portugal / INE long series
1979,central_government,8.191348849,0,79.08207221,85.2376772,8.191348849,164.3197494,-156.1284006,Banco de Portugal / INE long series
1980,central_government,11.62218054,0.06983170559,107.7533245,133.2494538,11.69201225,241.0027783,-229.3107661,Banco de Portugal / INE long series
1981,central_government,5.909592881,0.683353119,120.7973185,158.5047336,6.592946,279.3020521,-272.7091061,Banco de Portugal / INE long series
1982,central_government,9.076281162,0.9377400465,161.0913548,152.1153221,10.01402121,313.2066769,-303.1926557,Banco de Portugal / INE long series
1983,central_government,13.43520615,0.1945311799,233.3029349,159.7002624,13.62973733,393.0031973,-379.37346,Banco de Portugal / INE long series
1984,central_government,14.83739687,0.2493989485,383.4994813,156.6984318,15.08679582,540.197913,-525.1111172,Banco de Portugal / INE long series
1985,central_government,15.82060734,0.1147235163,457.5766253,185.1469908,15.93533085,642.7236161,-626.7882852,Banco de Portugal / INE long series
1986,central_government,71.24829162,23.42354925,436.3484004,280.3194302,94.67184086,716.6678305,-621.9959897,Banco de Portugal / INE long series
1987,central_government,210.632376,11.15810896,449.1226145,270.4781477,221.7904849,719.6007622,-497.8102772,Banco de Portugal / INE long series
1988,central_government,191.403717,1.94032382,553.121976,287.9061462,193.3440409,841.0281222,-647.6840814,Banco de Portugal / INE long series
1989,central_government,319.9389471,1.576201355,580.5259325,267.1511657,321.5151485,847.6770982,-526.1619497,Banco de Portugal / INE long series
1990,central_government,348.8742131,0.33918257,672.429445,395.5467324,349.2133957,1067.976177,-718.7627817,Banco de Portugal / INE long series
1991,central_government,400.853942,0.6983170559,841.6117158,459.687154,401.5522591,1301.29887,-899.7466107,Banco de Portugal / INE long series
1992,central_government,477.3645514,0.2643628854,1064.813799,531.78839,477.6289143,1596.602189,-1118.973274,Banco de Portugal / INE long series
1993,central_government,535.569278,42.38285731,1646.851089,579.3737094,577.9521354,2226.224798,-1648.272663,Banco de Portugal / INE long series
1994,central_government,453.9459902,36.62672958,1733.691803,623.2878762,490.5727197,2356.979679,-1866.406959,Banco de Portugal / INE long series
1995,central_government,518.9393562,35.30990313,1510.913698,680.8042617,554.2492593,2191.71796,-1637.4687,Banco de Portugal / INE long series
1977,regional_local_government,25.36481579,35.53000768,0.6299617921,0.03079079419,60.89482348,0.6607525863,60.23407089,Banco de Portugal / INE long series
1978,regional_local_government,22.04539061,38.84694387,0.2414181822,0.07486457637,60.89233447,0.3162827586,60.57605172,Banco de Portugal / INE long series
1979,regional_local_government,51.72799553,80.03521513,3.836274578,0,131.7632107,3.836274578,127.9269361,Banco de Portugal / INE long series
1980,regional_local_government,67.98416815,124.9793847,10.10084696,0.08320447721,192.9635528,10.18405144,182.7795014,Banco de Portugal / INE long series
1981,regional_local_government,84.55965124,150.0700612,4.444653385,0.05273291368,234.6297124,4.497386299,230.1323261,Banco de Portugal / INE long series
