year,sector,intragov_current_received_m_eur,intragov_capital_received_m_eur,intragov_current_paid_m_eur,intragov_capital_paid_m_eur,intragov_received_m_eur,intragov_paid_m_eur,net_intragov_transfer_m_eur,source
1982,regional_local_government,115.4114434,142.6231981,2.867634002,0.284389621,258.0346415,3.152023623,254.8826179,Banco de Portugal / INE long series
1983,regional_local_government,140.4317545,150.7268882,2.582336569,0.2027014894,291.1586427,2.785038058,288.3736046,Banco de Portugal / INE long series
1984,regional_local_government,166.243967,148.8213406,3.22856416,0.004987978971,315.0653076,3.233552139,311.8317555,Banco de Portugal / INE long series
1985,regional_local_government,222.3490239,176.0893896,5.396743847,0.004987978971,398.4384134,5.401731826,393.0366816,Banco de Portugal / INE long series
1986,regional_local_government,269.0615616,220.4187907,3.317006016,0.05486776868,489.4803524,3.371873784,486.1084786,Banco de Portugal / INE long series
1987,regional_local_government,305.02489,251.6734669,5.297233667,0.2294470327,556.698357,5.5266807,551.1716763,Banco de Portugal / INE long series
1988,regional_local_government,354.9445836,270.1389651,2.384253948,1.621093165,625.0835486,4.005347113,621.0782015,Banco de Portugal / INE long series
1989,regional_local_government,393.9056873,254.9206413,2.254566495,1.626081144,648.8263285,3.880647639,644.9456809,Banco de Portugal / INE long series
1990,regional_local_government,439.6903463,383.785078,3.032691214,0.164603306,823.4754242,3.19729452,820.2781297,Banco de Portugal / INE long series
1991,regional_local_government,552.7279257,448.5090931,4.773495875,0.004987978971,1001.237019,4.778483854,996.4585349,Banco de Portugal / INE long series
1992,regional_local_government,674.4844924,514.4352111,4.339541704,0.009975957941,1188.919704,4.349517662,1184.570186,Banco de Portugal / INE long series
1993,regional_local_government,693.8727666,561.671372,6.629024052,0.03990383177,1255.544139,6.668927884,1248.875211,Banco de Portugal / INE long series
1994,regional_local_government,655.2009657,604.6827147,8.110453806,0.009975957941,1259.88368,8.120429764,1251.763251,Banco de Portugal / INE long series
1995,regional_local_government,726.7285841,660.4882234,5.96063487,0.518749813,1387.216807,6.479384683,1380.737423,Banco de Portugal / INE long series
1977,social_security_funds,10.0557656,0.03491585279,60.28970182,0,10.09068146,60.28970182,-50.19902036,Banco de Portugal / INE long series
1978,social_security_funds,28.96519388,5.28226973,25.12445008,0.07980766353,34.24746361,25.20425774,9.043205874,Banco de Portugal / INE long series
1979,social_security_funds,27.56799114,5.202462066,4.568988737,0,32.77045321,4.568988737,28.20146447,Banco de Portugal / INE long series
1980,social_security_funds,39.83898804,8.338309674,1.591165292,0.05486776868,48.17729771,1.64603306,46.53126465,Banco de Portugal / INE long series
1981,social_security_funds,37.13204178,8.467453437,2.359314053,0.6634012031,45.59949522,3.022715256,42.57677996,Banco de Portugal / INE long series
1982,social_security_funds,46.47937471,9.537090612,7.008110454,0.6983170559,56.01646532,7.70642751,48.31003781,Banco de Portugal / INE long series
1983,social_security_funds,93.5156024,8.981544478,11.49729153,0,102.4971469,11.49729153,90.99985535,Banco de Portugal / INE long series
1984,social_security_funds,217.617831,7.882079189,11.97114953,0.2493989485,225.4999102,12.22054848,213.2793617,Banco de Portugal / INE long series
1985,social_security_funds,237.1739258,9.057601181,12.37018785,0.1097355374,246.231527,12.47992338,233.7516036,Banco de Portugal / INE long series
1986,social_security_funds,169.8656238,59.95051925,70.51007073,23.41856127,229.8161431,93.928632,135.8875111,Banco de Portugal / INE long series
1987,social_security_funds,150.2578785,18.85456051,211.4952963,10.97854171,169.112439,222.4738381,-53.36139903,Banco de Portugal / INE long series
1988,social_security_funds,206.0384473,18.77475285,196.880518,1.326802406,224.8132002,198.2073204,26.60587983,Banco de Portugal / INE long series
1989,social_security_funds,218.9473369,12.28040423,350.0114724,0,231.2277411,350.0114724,-118.7837312,Banco de Portugal / INE long series
1990,social_security_funds,242.161391,11.76165441,355.2638142,0.174579264,253.9230455,355.4383935,-101.515348,Banco de Portugal / INE long series
1991,social_security_funds,296.1313235,11.17806087,403.3279796,0.6933290769,307.3093844,404.0213086,-96.71192426,Banco de Portugal / INE long series
1992,social_security_funds,422.426951,17.35317884,505.1226544,0.2543869275,439.7801299,505.3770413,-65.59691144,Banco de Portugal / INE long series
1993,social_security_funds,1006.953243,17.70233737,582.9151744,42.34295348,1024.65558,625.2581279,399.3974521,Banco de Portugal / INE long series
1994,social_security_funds,1090.471963,18.60516156,457.8166618,36.61675362,1109.077124,494.4334155,614.6437087,Banco de Portugal / INE long series
1995,social_security_funds,796.5054219,20.36591814,525.2990293,34.84103311,816.8713401,560.1400624,256.7312776,Banco de Portugal / INE long series
