year,citizenship_system_balance_m_eur,previdential_system_balance_m_eur,special_regimes_balance_m_eur,source
2019,443,2333,0,CFP Social Security 2025 report underlying data
2020,423,1649,0,CFP Social Security 2025 report underlying data
2021,653,1695,0,CFP Social Security 2025 report underlying data
2022,-110,4172,0,CFP Social Security 2025 report underlying data
2023,1,5485,0,CFP Social Security 2025 report underlying data
2024,-245,5840,0,CFP Social Security 2025 report underlying data
2025,-55,6712,0,CFP Social Security 2025 report underlying data
