metric,historical_1995_m_eur,modern_1995_m_eur,difference_m_eur
general_government_balance_m_eur,-4557.695302,-4611,-53.30469848
central_government_balance_m_eur,-4220.739214,-4235,-14.2607862
regional_local_balance_m_eur,32.57930034,66,33.42069966
social_security_balance_m_eur,-369.5353881,-442,-72.46461195
